Date,Event Description,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,Looting/Theft/Robbery/Burglary of Health Supplies,Access Denied or Obstructed,Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Latitude,Longitude,Geo Precision
2024-05-30T00:00:00.000Z,"30 May 2024: In Jabalia Refugee Camp, the vicinity of a hospital was hit by Israeli airstrikes. _x000D_
",Host Government: Military,Israeli Defence Forces,Artillery,IDP/Refugee Camp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5363212588,34.4962499376,(2) 25 km Precision 
2024-05-29T00:00:00.000Z,29 May 2024: Two PRCS paramedics were killed in an Israeli airstrike which hit their ambulance while heading to evacuate wounded Palestinians.,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Road,0,0,0,0,0,0,0,0,0,0,2,0,0,0,null,0,0,0,31.3073018218,34.2413812329,(2) 25 km Precision 
2024-05-29T00:00:00.000Z,29 May 2024: A Palestinian man was injured in the vicinity of an INGO-supported hospital in an Israeli attack.,Host Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3068618221,34.2459523795,(2) 25 km Precision 
2024-05-29T00:00:00.000Z,"29 May 2024: PRCS ambulance crews were fired at by Israeli troops as they tried to extinguish a fire caused by an Israeli airstrike on one of the three ambulances in their crew, forcing them to withdraw.",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,1,0,0,31.3073018218,34.2413812329,(2) 25 km Precision 
2024-05-29T00:00:00.000Z,As reported on 29 May 2024: A WHO mission was unable to visit a hospital due to delays at a checkpoint.,Host Government: Military,Israeli Defence Forces,Firearms,Checkpoint,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.5099820158,34.4544124675,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,"28 May 2024: Red Cross teams were forced to evacuate their field hospital due to growing insecurity, including artillery and air bombardments, and evacuation of residents by Israeli forces.",Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3550656000,34.2610942000,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,"28 May 2024: In Bureij Camp, a Red Cross hospital staff member was killed when an Israeli bomb hit his house.",Host Government: Military,Israeli Defence Forces,Unspecified Explosive,IDP/Refugee Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.4384767815,34.4034718931,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,"28 May 2024: An internal medicine and rheumatology consultant was arrested at his home by Israel forces._x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NoInformation,0,0,0,31.9030543000,35.1952255000,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,28 May 2024: The main electricity generator at a hospital was completely destroyed by an Israeli strike.,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,Health Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5384016638,34.5013082588,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,"28 May 2024: An ambulance evacuating wounded Palestinians was fired at by Israeli tanks._x000D_
",Host Government: Military,Israeli Defence Forces,Artillery,Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3073018218,34.2413812329,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,"28 May 2024: A doctor and at least five Palestinians, including a child, were shot and killed and an unspecified number injured by Israeli forces near a hospital._x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,1,0,0,0,0,0,1,0,0,0,null,0,0,0,31.5384016638,34.5013082588,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,28 May 2024: A clinicl was bombed by Israeli artillery shelling. Health workers and patients were trapped inside.,Host Government: Military,Israeli Defence Forces,Artillery,Health Building,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3045013721,34.2381352346,(2) 25 km Precision 
2024-05-28T00:00:00.000Z,28 May 2024: The upper floor of a field hospital was bombed by Israeli artillery shelling. Health workers and patients were trapped inside.,Host Government: Military,Israeli Defence Forces,Artillery,Health Building,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3073018218,34.2411654452,(2) 25 km Precision 
2024-05-27T00:00:00.000Z,27 May 2024: The vicinity of an INGO-supported field hospital was hit by Israeli artillery. ,Host Government: Military,Israeli Defence Forces,Artillery,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3068618221,34.2459523795,(2) 25 km Precision 
2024-05-27T00:00:00.000Z,"As reported on 27 May 2024: In Jabalia Refugee Camp, Israeli forces repurposed a dialysis hospital into a military base and operational centre.",Host Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5348718790,34.4972463618,(2) 25 km Precision 
2024-05-27T00:00:00.000Z,"27 May 2024: The entrance of an NGO-supported hospital was hit by Israeli drone strikes, killing two staff members and injuring another. As a result, the hospital was forced to cease all operations.",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,0,0,0,0,0,0,2,1,0,0,null,0,0,0,31.2884899745,34.2498028286,(2) 25 km Precision 
2024-05-27T00:00:00.000Z,27 May 2024: Health workers and patients at an INGO-supported stabilisation point were forced to flee due to intensified hostilities. All medical activities ceased at the facility.,Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3074484879,34.2412086597,(2) 25 km Precision 
2024-05-26T00:00:00.000Z,26 May 2024: Ambulance crews were prevented by Israeli soldiers from reaching a boy who was shot by the soldiers. The boy died from his injuries.,Host Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.5829285000,35.1452192000,(2) 25 km Precision 
2024-05-26T00:00:00.000Z,26 May 2024: The vicinity of an NGO-supported hospital was hit by Israeli airstrikes.,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.2884899745,34.2498028286,(2) 25 km Precision 
2024-05-26T00:00:00.000Z,"26 May 2024: Following an Israeli airstrike on a displacement camp at a UN-agency site, health workers were unable to transport casualties and injured civilians due to the lack of a hospitals in the area.",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Project Site,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.2752047000,34.2558269000,(2) 25 km Precision 
2024-05-26T00:00:00.000Z,"26 May 2024: In Jenin Refugee Camp, a PRCS emergency station was raided by Israeli forces._x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,32.4601429368,35.2877427919,(2) 25 km Precision 
2024-05-26T00:00:00.000Z,26 May 2024: A besieged hospital was unable to transfer or treat patients due to lack of medical equipment.,Host Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5384016638,34.5013082588,(2) 25 km Precision 
2024-05-25T00:00:00.000Z,"25 May 2024: A UN inter-agency mission to deliver fuel and ambulances to two hospitals was delayed at a checkpoint, where Israeli soldiers demanded physical and vehicular searches as well as biometric checks. The mission was consequently aborted.",Host Government: Military,Israeli Defence Forces,Firearms,Checkpoint,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,1,0,0,31.4432234000,34.3600070000,"(4) Province, State, Governorate "
2024-05-25T00:00:00.000Z,25 May 2024: An ambulance was stopped and searched by Israeli forces during a raid on the village.,Host Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,1,0,0,32.0330000000,35.1040000000,(2) 25 km Precision 
2024-05-24T00:00:00.000Z,24 May 2024: Palestinian civilians in the vicinity of a hospital were fired at by Israeli quadcoptors.,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5384016638,34.5013082588,(2) 25 km Precision 
2024-05-24T00:00:00.000Z,24 May 2024: The vicinity of an NGO-supported hospital was hit by Israeli artillery.,Host Government: Military,Israeli Defence Forces,Artillery,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.2884899745,34.2498028286,(2) 25 km Precision 
2024-05-24T00:00:00.000Z,"24 May 2024: A UN-agency reported that, due to the closure and disruption of two crossings, its health centres did not receive any medical supplies for the past 12 days, affecting medicine stocks, especially antibiotics for children and epilepsy patients. Certain laboratory and dental items and vaccines were out of stock. ",Host Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.4432234000,34.3600070000,"(4) Province, State, Governorate "
2024-05-24T00:00:00.000Z,24 May 2024: The vicinity of a hospital was hit by Israeli artillery.,Host Government: Military,Israeli Defence Forces,Artillery,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.2966677559,34.2434781533,(2) 25 km Precision 
2024-05-23T00:00:00.000Z,"23 May 2024: A PRCS mental health volunteer and his wife were killed after Israeli forces bombed their house._x000D_
",Host Government: Military,Israeli Defence Forces,Unspecified Explosive,Home,0,0,0,0,0,0,0,0,0,0,1,0,0,0,null,0,0,0,31.2830204000,34.2805069396,"(3) District, Communicipality or Commune "
2024-05-23T00:00:00.000Z,"23 May 2024: Electricity at a hospital was largely cut off in the night due to the depletion of fuel to operate generators, putting at risk the lives of more than 1,200 wounded and sick patients, particularly in ICU, newborns in incubators, and around 600 patients requiring dialysis treatment. ",Host Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.4200022681,34.3597412109,(2) 25 km Precision 
2024-05-22T00:00:00.000Z,"22 May 2024: In Jabalia Refugee Camp, the Israeli military raided an NGO-supported hospital. Almost all staff, patients, and their companions evacuated. 12 staff, including the director, 14 patients and eight companions remained. The supporting NGO reported that the hospital was forced to close the next day after a four-day siege. _x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5338797038,34.5065653360,(2) 25 km Precision 
2024-05-22T00:00:00.000Z,"22 May 2024: After being damaged by live ammunition, a Red Cross ambulance transporting the body of a Palestinian killed by Israeli forces was detained by Israeli forces.",Host Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,1,0,0,1,0,0,0,0,null,0,0,0,32.4623216000,35.2787068714,(2) 25 km Precision 
2024-05-21T00:00:00.000Z,"21 May 2024: In Jenin Refugee Camp, a female paramedic sustained shrapnel injuries from Israeli gunfire.",Host Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,null,0,0,0,32.4601429368,35.2877427919,(2) 25 km Precision 
2024-05-21T00:00:00.000Z,"21-23 May 2024: In Jenin Refugee Camp, emergency medical teams were denied access by Israeli forces to several areas inside the camp during an operation while it took up to two hours to be granted access to other areas.",Host Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,32.4601429368,35.2877427919,(2) 25 km Precision 
2024-05-21T00:00:00.000Z,"21 May 2024: In Jenin Refugee Camp, a surgical specialist was shot and killed by Israeli forces on his way to work",Host Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,null,0,0,0,32.4601429368,35.2877427919,(2) 25 km Precision 
2024-05-21T00:00:00.000Z,"21 May 2024: A female nurse was severely beaten by Israeli forces at a checkpoint_x000D_
",Host Government: Military,Israeli Defence Forces,Fist and Foot,Checkpoint,0,0,0,0,0,0,0,0,0,0,0,1,0,0,null,0,1,0,31.7422526000,35.2892510000,(2) 25 km Precision 
2024-05-21T00:00:00.000Z,"21 May 2024: The entrance of the Emergency Department at a hospital was hit by two Israeli missiles, followed by a third missile that hit a nearby building, forcing health workers to move patients to the street. Throughout the day, the hospital was hit a further three times, resulting in damage to the intensive care unit, reception, administration and roof. Patients and health workers were evacuated. The hospital was no longer functional. ",Host Government: Military,Israeli Defence Forces,Missile,Health Building,1,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5384016638,34.5013082588,(2) 25 km Precision 
2024-05-21T00:00:00.000Z,"21 May 2024: In Jabalia camp, the vicinity of a hospital was hit by Israeli airstrikes.",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5363212588,34.4962499376,(2) 25 km Precision 
2024-05-20T00:00:00.000Z,"20 May 2024: In Jabalia Refugee Camp, medical personnel inside a besieged NGO hospital reported artillery shelling hitting the fifth floor, where the administration department is located. ",Host Government: Military,Israeli Defence Forces,Artillery,IDP/Refugee Camp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5338797038,34.5065653360,(2) 25 km Precision 
2024-05-20T00:00:00.000Z,20 May 2024: The vicinity of a hospital was hit by Israeli airstrikes.,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5512203354,34.5088504293,(2) 25 km Precision 
2024-05-20T00:00:00.000Z,"20 May 2024: In Jabalia Refugee Camp, medical personnel inside a besieged NGO hospital reported snipers aiming at the building. _x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5338797038,34.5065653360,(2) 25 km Precision 
2024-05-19T00:00:00.000Z,19 May 2024: A hospital was damaged by Israeli airstrikes in its vicinity.,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5512203354,34.5088504293,(2) 25 km Precision 
2024-05-19T00:00:00.000Z,19 May 2024: Ambulance and medical teams were blocked from reaching a man killed by Israeli forces. His body was later handed over to the Red Cross and transported to hospital.,Host Government: Military,Israeli Defence Forces,Firearms,Checkpoint,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.7422526000,35.2892510000,(2) 25 km Precision 
2024-05-19T00:00:00.000Z,"19 May 2024: An NGO hospital was hit with shells and besieged by Israeli forces, preventing movements of medical teams and civilians. 148 hospital staff, and 22 patients and companions were trapped inside. Areas around the hospital were reportedly bulldozed.",Host Government: Military,Israeli Defence Forces,Artillery,Health Building,0,1,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.5338797038,34.5065653360,(2) 25 km Precision 
2024-05-18T00:00:00.000Z,"18 May 2024: Israeli airstrikes were reported in the vicinity of a INGO-supported field hospital, injuring at least three people",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3068618221,34.2459523795,(2) 25 km Precision 
2024-05-18T00:00:00.000Z,"18 May 2024: In Jabalia Refugee Camp, an Israeli airstrike hit the vicinity of an UN-agency health clinic, injuring 13 Palestinians.",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,IDP/Refugee Camp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5321330842,34.4945653572,(2) 25 km Precision 
2024-05-18T00:00:00.000Z,"As reported on, 18 May 2024: In the vicinity of a NGO hospital, an unspecified number of Palestinians were injured by Israeli forces live fire._x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.2884899745,34.2498028286,(2) 25 km Precision 
2024-05-18T00:00:00.000Z,"18 May 2024: The vicinity of a hospital was hit when Israeli quadcopters opened fire at a residential square. 28 Palestinians, including ten women and ten children, were reportedly killed and an unspecified number injured. ",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5512203354,34.5088504293,(2) 25 km Precision 
2024-05-17T00:00:00.000Z,17 May 2024: Ambulances were prevented from entering the city by Israeli forces during a military operation.,Host Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,32.1881333000,34.9679208000,(2) 25 km Precision 
2024-05-17T00:00:00.000Z,"17 May 2024: Ambulance crews were prevented from assisting a man who was shot and injured by Israeli soldiers. _x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,32.3310891000,35.1116941000,(2) 25 km Precision 
2024-05-16T00:00:00.000Z,"16 May 2024: In Nuseirat Refugee Camp, four displaced persons and a Red Cross-hospital worker were killed, and an unspecified number injured, when an Israeli airstrike hit a school sheltering displaced people.",Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Plane,IDP/Refugee Camp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,null,0,0,0,15.6279522000,32.5521521508,(2) 25 km Precision 
2024-05-16T00:00:00.000Z,16 May 2024: An unspecified number of ambulances were fired upon by Israeli forces. ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,32.3210552000,35.3689104000,(2) 25 km Precision 
2024-05-15T00:00:00.000Z,"15 May 2024: In Jabalia Camp, displaced persons were injured after being hit by Israeli snipers while leaving a UN-agency clinic._x000D_
",Host Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5321330842,34.4945653572,(2) 25 km Precision 
2024-05-15T00:00:00.000Z,Around 15 May 2024: A medical centre was destroyed during an Israeli ground operation in the area. ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,Health Building,1,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.4944219124,34.4539350289,(2) 25 km Precision 
2024-05-15T00:00:00.000Z,"15 May 2024: Electricity generators at a hospital stopped working after running out of fuel due to the seizure and closure of two border crossings by Israeli authorities. As a result, the facility was unable to operate any of its machines, surgery wards and emergency wards.",Host Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3023150385,34.3195736658,(2) 25 km Precision 
2024-05-15T00:00:00.000Z,"15 May 2024: A UN-agency clinic was raided by Israeli forces who forcibly evacuated displaced Palestinians and wounded. The clinic was also hit by Israeli airstrikes, leaving it non-operational. 14 were killed.",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,1,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5001943634,34.4484096783,(2) 25 km Precision 
2024-05-15T00:00:00.000Z,15 May 2024: A nurse was killed when an Israeli airstrike hit her home. ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Home,0,0,0,0,0,0,0,0,0,0,1,0,0,0,null,0,0,0,31.5290924248,34.4840203437,(2) 25 km Precision 
2024-05-15T00:00:00.000Z,"15 May 2024: In Jabalia Refugee Camp, an ambulance was hit in an Israeli airstrike, resulting in an unspecified number of casualties._x000D_
",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,IDP/Refugee Camp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,null,0,0,0,31.5290924248,34.4840203437,(2) 25 km Precision 
2024-05-15T00:00:00.000Z,"15 May 2024: Israeli soldiers prevented paramedics from a Palestinian youth who was shot and injured by Israeli forces, causing him to bleed to death.",Host Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.9420729000,35.2224417000,(2) 25 km Precision 
2024-05-14T00:00:00.000Z,14 May 2024: Israeli army tanks advanced close to a NGO-supported hospital.,Host Government: Military,Israeli Defence Forces,Other Weapon,Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5038940682,34.4614505791,(2) 25 km Precision 
2024-05-14T00:00:00.000Z,"14 May 2024:  A field hospital was evacuated following the issuance of an evacuation order for the area where the hospital was located, becoming non-functional.",Host Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.2752047000,34.2558269000,"(3) District, Communicipality or Commune "
2024-05-13T00:00:00.000Z,"13 May 2024: A marked UN-agency vehicle came under Israeli fire on the way to a hospital, killing the Palestinian driver and an international staff member.",Host Government: Military,Israeli Defence Forces,Unspecified Explosive,Road,0,0,0,0,0,0,1,0,0,0,1,1,0,0,null,0,0,0,31.2752047000,34.2558269000,"(3) District, Communicipality or Commune "
2024-05-13T00:00:00.000Z,"13 May 2024: 17 American health workers, including 10 from an INGO, were trapped in the Gaza Strip after providing medical services to a hospital as part of a UN-organised mission due to a border closure. On 17 May, the health workers managed to safely get out of the Gaza Strip.",Host Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.3443293000,34.3095897000,"(3) District, Communicipality or Commune "
2024-05-13T00:00:00.000Z,13 May 2024: An NGO hospital was ordered to evacuate by Israeli forces.,Host Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Communication,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,0,0,0,31.2884899745,34.2498028286,(2) 25 km Precision 
2024-05-13T00:00:00.000Z,"13 May 2024: Red Cross headquarters were was by Israeli shelling. _x000D_
",Host Government: Military,Israeli Defence Forces,Shelling,Compound/Office Building,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.2871749000,34.2706724000,(2) 25 km Precision 
2024-05-13T00:00:00.000Z,13 May 2024: The outer walls of a UN-agency health centre was damaged by Israeli bulldozers. ,Host Government: Military,Israeli Defence Forces,Firearms,Health Building,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5002080851,34.4484045223,(2) 25 km Precision 
2024-05-12T00:00:00.000Z,"12 May 2024: In Bureij Refugee Camp, a medical centre was hit and destroyed by Israeli airstrikes. An unspecified number of people were injured. ",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,IDP/Refugee Camp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.4384767815,34.4034718931,(2) 25 km Precision 
2024-05-12T00:00:00.000Z,12 May 2024: Israeli artillery hit the vicinity of a health centre. ,Host Government: Military,Israeli Defence Forces,Artillery,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.4944219124,34.4539350289,(2) 25 km Precision 
2024-05-12T00:00:00.000Z,"12-13 May 2024: In Jabalia Refugee Camp, medical teams were fired at by Israeli tanks and armoured vehicles, preventing them from reaching killed and injured people during an Israeli military raid.",Host Government: Military,Israeli Defence Forces,Unspecified Explosive,IDP/Refugee Camp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,null,1,0,0,31.5290924248,34.4840203437,(2) 25 km Precision 
